ngay,tuan,part,nhom,tong,dilam,nguoi_nhap,ts
2025-12-31,W1,Production,CT,136,124,seed-excel,
2025-12-31,W1,Production,HN,99,96,seed-excel,
2025-12-31,W1,Production,TV,285,236,seed-excel,
2025-12-31,W1,Production,NN,150,150,seed-excel,
2025-12-31,W1,QC,CT,139,127,seed-excel,
2025-12-31,W1,QC,HN,18,17,seed-excel,
2025-12-31,W1,QC,TV,113,94,seed-excel,
2025-12-31,W1,QC,NN,3,3,seed-excel,
2025-12-31,W1,MM,CT,46,42,seed-excel,
2025-12-31,W1,MM,TV,9,7,seed-excel,
2025-12-31,W1,MM,NN,1,1,seed-excel,
2025-12-31,W1,EQM,CT,35,33,seed-excel,
2025-12-31,W1,HR,CT,39,37,seed-excel,
2025-12-31,W1,HR,HN,1,1,seed-excel,
2025-12-31,W1,HR,TV,1,1,seed-excel,
2025-12-31,W1,INNO,CT,3,3,seed-excel,
2026-01-07,W2,Production,CT,135,123,seed-excel,
2026-01-07,W2,Production,HN,121,116,seed-excel,
2026-01-07,W2,Production,TV,279,238,seed-excel,
2026-01-07,W2,Production,NN,173,173,seed-excel,
2026-01-07,W2,QC,CT,139,134,seed-excel,
2026-01-07,W2,QC,HN,20,18,seed-excel,
2026-01-07,W2,QC,TV,98,82,seed-excel,
2026-01-07,W2,QC,NN,10,10,seed-excel,
2026-01-07,W2,MM,CT,46,44,seed-excel,
2026-01-07,W2,MM,HN,1,1,seed-excel,
2026-01-07,W2,MM,TV,11,8,seed-excel,
2026-01-07,W2,EQM,CT,35,34,seed-excel,
2026-01-07,W2,HR,CT,40,39,seed-excel,
2026-01-07,W2,HR,HN,1,1,seed-excel,
2026-01-07,W2,HR,TV,1,1,seed-excel,
2026-01-07,W2,INNO,CT,4,4,seed-excel,
2026-01-14,W3,Production,CT,134,125,seed-excel,
2026-01-14,W3,Production,HN,257,245,seed-excel,
2026-01-14,W3,Production,TV,266,217,seed-excel,
2026-01-14,W3,Production,NN,228,228,seed-excel,
2026-01-14,W3,QC,CT,139,132,seed-excel,
